"","Model 1","Model 2","Model 3","Model 4","Model 5","Model 6","Model 7","Model 8","Model 9","Model 10","Model 11","Model 12","Model 13","Model 14","Model 15","Model 16","Model 17","Model 18","Model 19","Model 20","Model 21","Model 22","Model 23","Model 24","Model 25","Model 26","Model 27","Model 28","Model 29","Model 30","Model 31","Model 32","Model 33","Model 34","Model 35","Model 36","Model 37","Model 38","Model 39","Model 40","mean","SD"
"Maximum.training.sensitivity.plus.specificity.area",0.2546,0.2168,0.1922,0.2478,0.2192,0.2558,0.2224,0.278,0.2654,0.2106,0.2574,0.23,0.2312,0.2198,0.2308,0.2544,0.2262,0.2614,0.2196,0.224,0.258,0.2296,0.2622,0.2622,0.2504,0.2724,0.2678,0.2502,0.2268,0.2152,0.2536,0.2268,0.2054,0.1984,0.2414,0.2682,0.2532,0.245,0.2558,0.257,0.24043,0.0217986354102069
"Maximum.training.sensitivity.plus.specificity.training.omission",0.1453,0.1899,0.2067,0.1508,0.1955,0.1508,0.1899,0.1397,0.1397,0.1955,0.1508,0.1732,0.1732,0.1844,0.1788,0.1453,0.1676,0.1453,0.1732,0.1788,0.1508,0.1676,0.1508,0.1397,0.1508,0.1397,0.1453,0.1397,0.1788,0.1788,0.1453,0.1732,0.1844,0.2123,0.1788,0.1397,0.1453,0.1508,0.1508,0.1453,0.1635575,0.0204414959976194
"Balance.training.omission..predicted.area.and.threshold.value.cumulative.threshold",2.3356,2.3471,2.1419,2.1493,1.8993,2.2097,2.3062,2.2322,2.012,1.4086,2.1136,1.7696,2.316,1.6019,2.324,2.2276,3.0116,2.3376,3.0825,2.2176,1.2438,2.4724,1.4572,1.6638,1.9257,1.3277,2.0109,2.0567,2.2751,2.6075,2.1619,2.4977,2.3396,1.9188,1.4529,1.6119,2.7132,2.2912,2.2002,2.1735,2.11114,0.433742796568096
"Balance.training.omission..predicted.area.and.threshold.value.Cloglog.threshold",0.0702,0.0702,0.0657,0.065,0.0584,0.0675,0.0697,0.0666,0.0662,0.0503,0.0666,0.0562,0.0698,0.0529,0.0732,0.0745,0.078,0.0721,0.074,0.0668,0.0468,0.0689,0.0551,0.0552,0.066,0.0501,0.0675,0.0631,0.0702,0.07,0.0659,0.0779,0.0641,0.061,0.0534,0.0545,0.0786,0.0676,0.0623,0.0653,0.064935,0.00805630758809661
"Balance.training.omission..predicted.area.and.threshold.value.area",0.6532,0.6386,0.6368,0.6538,0.6564,0.6504,0.6446,0.6628,0.6606,0.6836,0.6558,0.6614,0.653,0.6858,0.646,0.6672,0.641,0.6452,0.6358,0.6918,0.7004,0.6874,0.7048,0.6804,0.6768,0.6908,0.655,0.6558,0.6384,0.6398,0.6444,0.6526,0.6452,0.6498,0.6746,0.6758,0.6396,0.6602,0.6564,0.651,0.660075,0.020347420407545
"Balance.training.omission..predicted.area.and.threshold.value.training.omission",0.0279,0.0279,0.0279,0.0279,0.0279,0.0279,0.0279,0.0279,0.0279,0.0223,0.0279,0.0279,0.0279,0.0223,0.0279,0.0279,0.0279,0.0279,0.0279,0.0223,0.0223,0.0223,0.0168,0.0223,0.0279,0.0223,0.0279,0.0279,0.0279,0.0279,0.0279,0.0279,0.0279,0.0279,0.0223,0.0223,0.0279,0.0279,0.0279,0.0279,0.0263625,0.00298498349020252
"Equate.entropy.of.thresholded.and.original.distributions.cumulative.threshold",11.7202,11.317,11.5692,11.2534,11.4411,11.2342,11.3778,11.433,11.1876,11.6376,11.6259,11.6056,11.383,11.4589,11.3777,11.445,11.3772,11.639,11.7843,11.7021,11.2934,11.7157,12.1515,11.6304,11.4834,11.4686,11.3156,11.5316,11.312,11.6443,11.605,11.4364,11.3611,11.3779,11.1397,11.0779,11.5463,12.6638,11.5261,11.4999,11.50876,0.203141312600508
"Equate.entropy.of.thresholded.and.original.distributions.Cloglog.threshold",0.1943,0.191,0.1926,0.1854,0.1878,0.1922,0.1997,0.1862,0.1933,0.1925,0.1945,0.1846,0.1941,0.1877,0.1937,0.1898,0.1886,0.1911,0.1866,0.1892,0.1883,0.1865,0.1892,0.1912,0.1877,0.1922,0.1978,0.1864,0.1867,0.1877,0.1921,0.193,0.1858,0.1919,0.1933,0.1951,0.1953,0.1906,0.1885,0.191,0.19063,0.00370570234706695
"Equate.entropy.of.thresholded.and.original.distributions.area",0.3842,0.3826,0.3728,0.3802,0.3708,0.3878,0.3886,0.3872,0.391,0.3718,0.3816,0.3632,0.392,0.3774,0.3898,0.3982,0.3994,0.3848,0.388,0.402,0.3746,0.4008,0.377,0.378,0.389,0.3772,0.3888,0.3748,0.3794,0.3796,0.3776,0.3994,0.3748,0.3744,0.379,0.3858,0.3944,0.3682,0.3756,0.379,0.38302,0.00945416286099932
"Equate.entropy.of.thresholded.and.original.distributions.training.omission",0.1061,0.1061,0.1006,0.1061,0.1061,0.095,0.1061,0.1006,0.1006,0.1061,0.1006,0.1006,0.1006,0.1117,0.1006,0.1006,0.095,0.1006,0.1006,0.0838,0.1117,0.1006,0.1117,0.1061,0.095,0.1061,0.1006,0.1117,0.095,0.1061,0.1061,0.1006,0.1061,0.1061,0.1117,0.1006,0.095,0.1006,0.1117,0.1061,0.1029325,0.00608285795654807
